Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonfirmasi,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meninggal,Kasus_Aktif_Akumulatif,CFR_Harian,Cluster,Zone
2,0,0,0,0,0,2,0.00000,1,Merah
2,0,0,0,0,0,2,0.00000,1,Merah
2,0,0,0,0,0,2,0.00000,1,Merah
2,0,0,0,0,0,2,0.00000,1,Merah
4,2,0,0,0,0,4,0.00000,1,Merah
4,0,0,0,0,0,4,0.00000,1,Merah
6,2,0,0,0,0,6,0.00000,1,Merah
1,1,0,0,0,0,1,0.00000,1,Merah
16,10,0,0,0,0,16,0.00000,1,Merah
2,2,0,0,0,0,2,0.00000,1,Merah
1,1,0,0,0,0,1,0.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
23,7,0,0,0,0,23,0.00000,1,Merah
2,0,0,0,0,0,2,0.00000,1,Merah
1,0,0,0,1,1,0,100.00000,2,Kuning
1,0,0,0,0,0,1,0.00000,1,Merah
29,6,2,2,0,0,27,0.00000,1,Merah
3,1,0,0,0,0,3,0.00000,1,Merah
1,0,0,0,1,0,0,100.00000,2,Kuning
1,0,0,0,0,0,1,0.00000,1,Merah
29,0,2,0,0,0,27,0.00000,1,Merah
3,0,0,0,0,0,3,0.00000,1,Merah
1,0,0,0,1,0,0,100.00000,2,Kuning
4,3,0,0,1,1,3,25.00000,1,Merah
1,1,0,0,0,0,1,0.00000,1,Merah
54,25,3,1,1,1,50,2.00000,1,Merah
5,2,0,0,0,0,5,0.00000,1,Merah
2,2,0,0,1,1,1,50.00000,2,Kuning
1,1,0,0,0,0,1,0.00000,1,Merah
1,1,0,0,0,0,1,0.00000,1,Merah
1,0,0,0,1,0,0,100.00000,2,Kuning
7,3,0,0,1,0,6,14.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
71,17,8,5,2,1,61,3.00000,1,Merah
8,3,0,0,0,0,8,0.00000,1,Merah
2,0,0,0,1,0,1,50.00000,2,Kuning
1,0,0,0,0,0,1,0.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
4,4,0,0,0,0,4,0.00000,1,Merah
1,0,0,0,1,0,0,100.00000,2,Kuning
7,0,0,0,1,0,6,14.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
90,19,8,0,2,0,80,2.00000,1,Merah
8,0,0,0,0,0,8,0.00000,1,Merah
4,2,0,0,1,0,3,25.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
4,0,0,0,0,0,4,0.00000,1,Merah
1,0,0,0,1,0,0,100.00000,2,Kuning
8,1,0,0,1,0,7,13.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
104,14,8,0,2,0,94,2.00000,1,Merah
9,1,0,0,0,0,9,0.00000,1,Merah
5,1,0,0,1,0,4,20.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
4,0,0,0,0,0,4,0.00000,1,Merah
1,0,0,0,1,0,0,100.00000,2,Kuning
13,5,0,0,1,0,12,8.00000,1,Merah
2,1,0,0,0,0,2,0.00000,1,Merah
126,22,9,1,2,0,115,2.00000,1,Merah
12,3,0,0,0,0,12,0.00000,1,Merah
6,1,0,0,1,0,5,17.00000,1,Merah
8,8,0,0,0,0,8,0.00000,1,Merah
2,1,0,0,0,0,2,0.00000,1,Merah
1,1,0,0,0,0,1,0.00000,1,Merah
1,0,0,0,0,0,1,0.00000,1,Merah
1,0,0,0,1,0,0,100.00000,2,Kuning
17,4,0,0,1,0,16,6.00000,1,Merah
